"","RC1","RC2","RC3","RC4","RC6","RC5"
"ai_general",0.482623676442257,0.138261718969677,0.0887391060802412,0.250302627123794,0.498671684227409,-0.189825026755123
"chatgpt_abbr",0.0724427567059014,0.0574396747318902,0.126201117354514,0.060953742742907,0.00192082035104377,0.8879676999765
"chatgpt_usage",0.209881464658945,-0.0871662365738148,0.463646414624537,0.487205687186539,-0.152635285089516,0.0840799782785124
"ai_concept",-0.0267605205601938,-0.173473059666543,0.149783308516094,0.0110542154830147,0.811480509050904,0.0739517394956327
"ai_turing",0.222127770341347,0.0922659503256721,-0.0640908595509689,0.708350903566415,-0.00791613916524344,0.122381875561207
"ai_alphago",0.573563665718992,-0.541622298311637,0.19343402416599,0.0410424114431036,-0.215808063364133,-0.194342523137453
"ai_recommender",0.839512815230799,0.166761024395971,-0.0988382430333325,0.108816752781037,0.0686835290639447,0.0875249624291699
"cs_gpu",0.57388064336906,-0.0390380391257153,0.412775059310404,0.0226504491218647,-0.00606579783085023,0.117960996934905
"cs_test",0.0896882431857505,0.00483801049354833,-0.0149249615617411,-0.800604276312568,-0.129313670812462,0.093180083815795
"cs_knowledge",0.118198494963194,0.0144174746633222,0.706096106254671,-0.0625655624852484,0.242233979269713,-0.164750463513855
"cs_virus",-0.0201424010932562,0.679392065379638,0.108753726108819,-0.0118928483250105,-0.138275737776569,-0.0301863940940848
"cs_ctrlc",0.0951361317145984,0.512426747332148,0.295649907605904,0.208881956906635,-0.219544419658649,-0.328207646077213
"course",0.114315928556045,0.700265083017932,-0.090326957777293,0.0162556290593556,0.0404213770474232,0.11096634014683
"interest",-0.0356481809169509,0.0766181163697351,0.703229626046498,0.0229735895443739,0.0401425352269058,0.216065485892549
